depth	latitude	longitude
13.7	42.487	13.246
9.2	43.656	12.512
13.4	44.348	10.097
24.9	43.178	12.98
8.3	43.306	12.544
11.3	42.944	13.098
10.8	43.381	12.631
4	43.37	12.567
10.7	44.253	10.58
14.2	43.415	12.721
8.4	43.496	12.418
24.7	43.092	12.852
9.6	43.303	12.549
8.2	43.526	12.316
9.2	43.301	12.553
13.9	44.13	10.677
9.1	43.304	12.553
10.3	44.239	10.556
9.7	43.302	12.546
7.8	43.303	12.551
23.3	43.098	13.402
8.9	43.423	12.542
13.2	42.994	13.002
7.3	43.463	12.486
9.3	38.098	15.092
47.7	44.047	10.94
8.5	39.892	15.988
8.7	39.9	16.032
10.5	43.408	13.337
8	43.346	12.525
9.4	43.344	12.634
2.9	38.879	15.921
10	44.471	6.711
10.7	41.966	13.741
10.4	37.765	14.584
263.4	39.942	15.492
8.7	43.43	12.51
8.7	43.519	12.313
10.8	42.99	12.963
7.8	44.247	10.557
8.5	43.133	12.581
31.5	44.482	7.37
10.2	42.333	13.481
9.7	41.923	13.18
8	43.414	12.544
13.4	44.136	10.709
14.8	44.127	10.79
8.2	43.421	12.577
11.2	37.206	15.167
8.1	43.96	11.744
9.3	43.302	12.538
3.7	43.442	12.426
6.3	38.495	14.484
5	38.124	15.26
8.9	42.824	13.029
17.7	44.106	10.693
9.5	38.194	15.565
9.8	43.364	12.615
9.5	43.343	12.566
9.1	43.38	12.501
13.1	44.154	10.718
15.5	44.116	10.714
7.6	43.441	12.419
11	42.544	13.339
30.3	39.471	16.719
3.8	40.837	14.682
8.4	43.41	12.568
13.7	44.132	10.692
14.8	44.171	10.703
6.1	44.183	10.7
9.1	43.361	12.609
9.3	38.183	15.562
8.6	39.901	16.011
14.6	38.587	14.467
15.5	44.142	10.678
15.2	38.586	14.457
9.6	39.903	16.106
13.7	44.133	10.665
9.6	43.307	12.554
13.9	44.119	10.704
9.3	43.303	12.554
10.4	43.31	12.572
9.6	43.304	12.543
9.3	43.305	12.553
3.9	43.409	12.576
14.6	44.145	10.705
9.3	43.302	12.542
9.4	42.987	12.598
14.4	44.142	10.699
4.8	43.391	12.6
3.9	43.397	12.599
3.1	44.143	10.701
6.7	43.304	12.536
5.4	43.388	12.607
10.3	43.362	12.528
12.9	42.952	13.113
11.8	43.95	10.698
4.6	43.399	12.596
10.8	42.491	13.358
9.7	43.144	12.53
8.8	43.452	12.545
10.9	46.318	11.81
6.9	43.343	12.546
14.6	44.144	10.691
6.3	43.361	12.61
8.3	43.334	12.635
14.2	44.142	10.687
9.4	39.773	16.27
14.5	44.14	10.678
9.3	43.472	12.503
7.3	38.068	15.138
7.4	43.319	12.558
8.8	43.412	12.487
4.1	43.376	12.504
5.1	43.376	12.508
10.1	44.166	10.682
12.1	44.154	10.696
14.3	44.135	10.679
6.4	43.416	12.546
12.5	44.138	10.72
6.8	38.175	15.054
14.3	44.138	10.721
13	44.14	10.709
14.3	44.135	10.717
10.1	44.146	10.706
9.3	44.131	10.718
10.1	44.148	10.723
9.1	44.146	10.676
13.6	44.148	10.696
10.4	44.14	10.674
33.6	37.094	16.027
14.6	43.972	10.7
13.6	44.13	10.694
13.7	44.139	10.699
12.9	44.151	10.692
8.2	43.123	12.506
13	44.152	10.69
13.8	44.146	10.686
9.6	44.141	10.689
10.5	44.139	10.661
13.6	44.137	10.686
18.3	41.351	14.468
13.8	44.145	10.72
12.9	44.129	10.683
13.4	44.144	10.682
15.4	44.137	10.706
9.1	44.142	10.669
3.6	44.186	10.717
12.6	44.158	10.694
10.5	44.149	10.712
10.7	44.147	10.68
13.1	44.149	10.682
14.8	44.133	10.695
13.1	44.132	10.682
12.9	44.143	10.68
15.2	44.13	10.683
15.4	44.127	10.677
6.4	43.022	12.66
8	43.119	12.503
19	43.083	12.628
6.8	43.424	12.544
9.5	42.792	13.091
8.7	43.479	12.418
8.6	43.472	12.507
6.7	43.363	12.608
9.1	43.332	12.545
7.9	43.15	12.789
8.7	43.124	11.02
4.7	43.424	12.544
11.2	44.295	10.807
6.6	43.367	12.605
7.5	43.308	12.537
13	42.984	12.978
9.8	42.446	13.253
6.8	43.413	12.502
4.5	43.42	12.528
6.6	43.413	12.524
10.7	42.441	13.293
6.1	42.956	12.901
114	38.432	15.353
10.2	43.478	12.541
7.2	43.427	12.542
8.9	43.427	12.543
12.5	43.024	12.954
7.8	43.468	12.463
8.6	43.648	12.163
8.7	43.426	12.542
5	45.624	14.774
7.8	42.893	13.05
4.7	43.41	12.576
5	43.408	12.574
10.1	43.263	12.654
11	42.557	13.337
5.4	43.411	12.573
11.5	44.492	6.729
4.8	43.418	12.445
29	41.934	15.757
5.6	43.36	12.611
10.2	43.253	12.639
54	38.776	15.974
8.7	40.469	16.134
10	43.359	12.611
8.4	43.462	12.487
9.2	43.061	12.872
10.6	37.941	14.329
9.8	43.302	12.548
12.1	43.482	12.428
8	43.458	12.487
6.9	43.459	12.48
10.5	43.608	10.553
4.1	43.409	12.574
11.3	42.588	13.198
13.9	43.494	12.725
7.7	43.295	12.583
