# latitude	longitude	depth =
37.839	15.357	31.4
43.404	12.488	6.6
43.917	11.621	8.1
43.447	12.412	5.7
45.389	6.581	10
38.732	15.727	160.6
43.438	12.428	8
43.445	12.438	7.7
43.442	12.435	6
43.572	12.814	16.1
42.846	12.829	10.2
43.467	12.511	8.5
42.924	12.872	10.2
42.923	12.872	10.1
43.304	12.55	9.9
43.42	12.541	8.7
43.324	12.565	9.4
42.463	9.768	10
43.332	12.549	8.9
44.129	10.681	14.5
44.186	10.685	16.9
46.04	7.784	10.5
43.03	12.553	8.8
42.471	13.29	11.2
43.377	12.607	5.9
44.501	6.704	16
41.692	12.999	8.1
42.627	13.05	9.6
42.618	13.026	8.3
38.577	15.432	73.9
42.619	13.032	8
43.422	12.548	5.8
42.789	12.947	9.9
38.99	15.129	10
38.917	15.987	40.9
43.302	12.539	7.3
45.855	10.066	6.7
42.899	13.099	6.5
41.984	13.312	9
41.979	13.31	9.1
46.456	13.373	7.5
46.457	13.368	7
42.928	12.861	11.1
42.943	12.953	11.9
42.732	13.635	23.4
43.039	12.985	13.1
42.738	13.633	22.4
43.306	12.547	6.8
39.644	15.458	10.9
42.944	12.942	11.1
44.523	8.428	8.7
43.188	12.631	9.8
43.579	12.408	10.4
40.65	15.726	28.1
38.264	15.667	7.7
44.863	6.659	10
38.158	15.119	11.5
42.933	12.949	10.8
40.648	15.696	8.7
43.454	12.38	7.2
38.158	15.119	12.2
43.949	11.76	8.4
38.159	15.109	9.9
38.155	15.12	13.3
38.162	15.117	11.1
43.307	12.55	9.1
43.307	12.549	10
43.161	12.547	9.4
43.304	12.554	8.4
44.499	6.671	7.4
44.541	6.736	11
43.301	12.55	9.4
43.304	12.552	8.4
42.944	12.98	11.8
44.27	10.594	9.8
43.415	12.433	4.4
38.921	15.995	40.4
43.356	12.537	9.5
42.783	12.569	6.8
43.189	12.855	18.6
43.188	12.853	18
42.863	12.925	10.1
42.576	13.151	11.1
42.52	13.284	12.7
42.843	12.944	10.9
42.562	12.912	12.4
43.173	13.22	17.5
43.697	12.143	10.5
42.782	12.564	9.9
37.614	14.939	6.6
43.25	12.639	9.8
40.5	15.181	9.4
44.135	10.686	14.1
45.164	7.168	11.7
46.136	10.477	7.6
43.304	12.546	9.7
42.562	13.239	13.8
43.828	12.134	10
47.168	11.564	6.5
43.393	12.768	13.4
40.642	15.716	10.1
43.303	12.548	9.4
43.463	12.509	9.9
43.409	12.535	8
43.422	12.536	7
39.934	15.904	7.4
38.277	15.725	10.5
43.264	12.755	12.4
42.72	12.526	3.7
44.198	10.269	10.9
46.003	7.729	10
43.298	11.248	10.9
43.424	12.993	19.9
43.36	12.618	5.7
42.56	12.989	12.7
42.658	13.578	15.6
43.304	12.558	7.9
42.731	13.645	24.3
43.48	12.708	17
43.478	12.412	9.9
42.743	13.647	23.2
42.722	13.66	24.9
42.736	13.64	23.5
46.696	9.577	7.5
43.309	12.552	9.2
45.096	7.243	17.2
41.756	13.556	8.8
40.66	15.714	20.5
44.351	7.308	13.3
44.349	7.312	14.5
44.354	7.307	12.1
44.347	7.301	13.4
43.065	12.948	13
42.564	13.285	11.6
43.307	12.552	10.1
44.412	10.289	8.8
38.387	15.994	10.7
43.937	11.869	8.3
42.564	13.312	12.4
43.304	12.553	9.8
39.159	16.349	19.9
43.436	13.002	8.1
43.934	11.874	8
43.144	12.793	10
43.283	11.43	5
43.394	12.48	8.8
43.104	13.007	14.8
37.862	14.923	5.6
39.008	16.041	20.6
42.615	13.145	11.6
39.899	16.124	5.5
39.309	16.635	13.3
38.17	15.864	10.1
44.157	10.704	12.5
41.932	14.051	10.8
40.226	15.945	13.4
42.576	13.15	10.9
44.68	6.801	10
43.481	12.37	9.1
43.361	12.623	6.7
46.062	7.51	6.4
